promRT_mhd23
it   t   dt    rho m1 m2 m3 e b1 b2 b3 psi tr d1 d2 d3 d4      c1 c2 c3 n1 n2 n3
   1355  0.52000E+00  0.38472E-03  0.18376E+07  0.63342E-27  0.23276E+00  0.49984E-33  0.27726E+05  0.80041E+01  0.15129E-32  0.79991E+01  0.11630E-21 -0.20006E+00  0.27718E+05  0.18002E+01  0.79516E-02  0.12564E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1381  0.53000E+00  0.38472E-03  0.18376E+07  0.66536E-27  0.23307E+00  0.52981E-33  0.27727E+05  0.80040E+01  0.15452E-32  0.79990E+01  0.96381E-22 -0.20005E+00  0.27718E+05  0.18002E+01  0.79511E-02  0.12572E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1407  0.54000E+00  0.38472E-03  0.18377E+07  0.70519E-27  0.23337E+00  0.56058E-33  0.27727E+05  0.80040E+01  0.15794E-32  0.79990E+01  0.11631E-21 -0.20003E+00  0.27719E+05  0.18002E+01  0.79506E-02  0.12579E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1433  0.55000E+00  0.38471E-03  0.18378E+07  0.75140E-27  0.23366E+00  0.59322E-33  0.27727E+05  0.80040E+01  0.16135E-32  0.79990E+01  0.49650E-22 -0.20002E+00  0.27719E+05  0.18002E+01  0.79501E-02  0.12586E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1459  0.56000E+00  0.38471E-03  0.18378E+07  0.79371E-27  0.23395E+00  0.62852E-33  0.27727E+05  0.80040E+01  0.16739E-32  0.79990E+01  0.16805E-21 -0.20000E+00  0.27719E+05  0.18002E+01  0.79496E-02  0.12593E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1485  0.57000E+00  0.38471E-03  0.18379E+07  0.82658E-27  0.23423E+00  0.66617E-33  0.27727E+05  0.80040E+01  0.17364E-32  0.79990E+01  0.11313E-21 -0.19999E+00  0.27719E+05  0.18001E+01  0.79492E-02  0.12599E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1511  0.58000E+00  0.38471E-03  0.18380E+07  0.84643E-27  0.23452E+00  0.70565E-33  0.27728E+05  0.80040E+01  0.17965E-32  0.79990E+01  0.95521E-22 -0.19997E+00  0.27719E+05  0.18001E+01  0.79487E-02  0.12606E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1537  0.59000E+00  0.38471E-03  0.18380E+07  0.84387E-27  0.23480E+00  0.74497E-33  0.27728E+05  0.80039E+01  0.18715E-32  0.79989E+01  0.79945E-22 -0.19996E+00  0.27720E+05  0.18001E+01  0.79482E-02  0.12613E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1563  0.60000E+00  0.38471E-03  0.18381E+07  0.82633E-27  0.23509E+00  0.78416E-33  0.27728E+05  0.80039E+01  0.19779E-32  0.79989E+01  0.21722E-21 -0.19994E+00  0.27720E+05  0.18001E+01  0.79478E-02  0.12620E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1589  0.61000E+00  0.38471E-03  0.18381E+07  0.81675E-27  0.23538E+00  0.82345E-33  0.27728E+05  0.80039E+01  0.20906E-32  0.79989E+01  0.28863E-21 -0.19993E+00  0.27720E+05  0.18001E+01  0.79473E-02  0.12628E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1615  0.62000E+00  0.38471E-03  0.18382E+07  0.81100E-27  0.23567E+00  0.86220E-33  0.27729E+05  0.80039E+01  0.22247E-32  0.79989E+01  0.22440E-21 -0.19991E+00  0.27720E+05  0.18002E+01  0.79469E-02  0.12635E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1641  0.63000E+00  0.38471E-03  0.18383E+07  0.80537E-27  0.23597E+00  0.90076E-33  0.27729E+05  0.80039E+01  0.23674E-32  0.79989E+01  0.35199E-21 -0.19990E+00  0.27721E+05  0.18002E+01  0.79464E-02  0.12643E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1667  0.64000E+00  0.38471E-03  0.18383E+07  0.80371E-27  0.23627E+00  0.94006E-33  0.27729E+05  0.80039E+01  0.24918E-32  0.79989E+01  0.29573E-21 -0.19988E+00  0.27721E+05  0.18002E+01  0.79460E-02  0.12651E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1693  0.65000E+00  0.38471E-03  0.18384E+07  0.80472E-27  0.23658E+00  0.98199E-33  0.27729E+05  0.80039E+01  0.26087E-32  0.79989E+01  0.39786E-21 -0.19987E+00  0.27721E+05  0.18002E+01  0.79456E-02  0.12659E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1719  0.66000E+00  0.38471E-03  0.18384E+07  0.80789E-27  0.23689E+00  0.10265E-32  0.27729E+05  0.80039E+01  0.27249E-32  0.79989E+01  0.42617E-21 -0.19985E+00  0.27721E+05  0.18002E+01  0.79451E-02  0.12668E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1745  0.67000E+00  0.38471E-03  0.18385E+07  0.82903E-27  0.23721E+00  0.10719E-32  0.27730E+05  0.80039E+01  0.28095E-32  0.79989E+01  0.46842E-21 -0.19983E+00  0.27721E+05  0.18002E+01  0.79447E-02  0.12676E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1771  0.68000E+00  0.38471E-03  0.18386E+07  0.87027E-27  0.23753E+00  0.11169E-32  0.27730E+05  0.80039E+01  0.28956E-32  0.79989E+01  0.42598E-21 -0.19982E+00  0.27722E+05  0.18002E+01  0.79443E-02  0.12685E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1797  0.69000E+00  0.38471E-03  0.18386E+07  0.91752E-27  0.23785E+00  0.11626E-32  0.27730E+05  0.80039E+01  0.29815E-32  0.79989E+01  0.56840E-21 -0.19980E+00  0.27722E+05  0.18002E+01  0.79439E-02  0.12694E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1823  0.70000E+00  0.38471E-03  0.18387E+07  0.96598E-27  0.23818E+00  0.12092E-32  0.27730E+05  0.80039E+01  0.30599E-32  0.79989E+01  0.67034E-21 -0.19978E+00  0.27722E+05  0.18002E+01  0.79434E-02  0.12703E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1849  0.71000E+00  0.38471E-03  0.18387E+07  0.10019E-26  0.23850E+00  0.12579E-32  0.27730E+05  0.80039E+01  0.31200E-32  0.79989E+01  0.61724E-21 -0.19977E+00  0.27722E+05  0.18002E+01  0.79430E-02  0.12712E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1875  0.72000E+00  0.38472E-03  0.18388E+07  0.10350E-26  0.23882E+00  0.13076E-32  0.27731E+05  0.80039E+01  0.31658E-32  0.79989E+01  0.64512E-21 -0.19975E+00  0.27722E+05  0.18002E+01  0.79426E-02  0.12720E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1901  0.73000E+00  0.38472E-03  0.18389E+07  0.10614E-26  0.23914E+00  0.13559E-32  0.27731E+05  0.80039E+01  0.32080E-32  0.79989E+01  0.67702E-21 -0.19973E+00  0.27723E+05  0.18002E+01  0.79422E-02  0.12729E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1927  0.74000E+00  0.38472E-03  0.18389E+07  0.10771E-26  0.23946E+00  0.14043E-32  0.27731E+05  0.80038E+01  0.32664E-32  0.79988E+01  0.67733E-21 -0.19972E+00  0.27723E+05  0.18002E+01  0.79418E-02  0.12738E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1953  0.75000E+00  0.38472E-03  0.18390E+07  0.11036E-26  0.23977E+00  0.14544E-32  0.27731E+05  0.80038E+01  0.33383E-32  0.79988E+01  0.57328E-21 -0.19970E+00  0.27723E+05  0.18002E+01  0.79414E-02  0.12746E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   1979  0.76000E+00  0.38472E-03  0.18390E+07  0.11368E-26  0.24007E+00  0.15075E-32  0.27731E+05  0.80038E+01  0.34054E-32  0.79988E+01  0.52669E-21 -0.19968E+00  0.27723E+05  0.18002E+01  0.79409E-02  0.12754E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2005  0.77000E+00  0.38472E-03  0.18391E+07  0.11781E-26  0.24037E+00  0.15619E-32  0.27732E+05  0.80038E+01  0.34408E-32  0.79988E+01  0.53080E-21 -0.19966E+00  0.27723E+05  0.18002E+01  0.79402E-02  0.12762E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2031  0.78000E+00  0.38472E-03  0.18392E+07  0.12235E-26  0.24066E+00  0.16159E-32  0.27732E+05  0.80038E+01  0.34538E-32  0.79988E+01  0.45815E-21 -0.19964E+00  0.27723E+05  0.18002E+01  0.79396E-02  0.12770E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2057  0.79000E+00  0.38472E-03  0.18392E+07  0.12469E-26  0.24094E+00  0.16710E-32  0.27732E+05  0.80038E+01  0.34570E-32  0.79988E+01  0.51044E-21 -0.19963E+00  0.27724E+05  0.18002E+01  0.79390E-02  0.12777E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2083  0.80000E+00  0.38472E-03  0.18393E+07  0.12615E-26  0.24123E+00  0.17270E-32  0.27732E+05  0.80038E+01  0.34575E-32  0.79988E+01  0.56331E-21 -0.19961E+00  0.27724E+05  0.18003E+01  0.79384E-02  0.12785E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2109  0.81000E+00  0.38473E-03  0.18393E+07  0.12849E-26  0.24150E+00  0.17839E-32  0.27732E+05  0.80038E+01  0.34254E-32  0.79988E+01  0.56778E-21 -0.19959E+00  0.27724E+05  0.18003E+01  0.79378E-02  0.12792E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2135  0.82000E+00  0.38473E-03  0.18394E+07  0.13050E-26  0.24178E+00  0.18413E-32  0.27732E+05  0.80038E+01  0.33776E-32  0.79988E+01  0.62597E-21 -0.19957E+00  0.27724E+05  0.18003E+01  0.79372E-02  0.12800E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
   2161  0.83000E+00  0.38473E-03  0.18394E+07  0.13410E-26  0.24205E+00  0.18992E-32  0.27732E+05  0.80037E+01  0.33085E-32  0.79987E+01  0.55484E-21 -0.19956E+00  0.27724E+05  0.18003E+01  0.79366E-02  0.12807E-02  0.86667E+00  0.66667E-01  0.66667E-01   195    60   240
